,full_text,sentiment,emotion
486,"@PGN_COL @RedMasNoticias @NoticiasCaracol @NoticiasRCN @elespectador @ElNuevoSiglo @AtlanticoEmi @larepublica_co @elheraldoco @RevistaSemana @BluRadioCo Las elecciones en Colombia fueron un fraude debe anularlas y las de presidencia deben aplazarlas no hay GARANTÍAS, hubo un PACTO DE ROBO Y ATRACÓ AL PAIS",negative,sadness
413,"Colombia es un país olvidado por sus dirigentes , cada dia hay mas hambre , inseguridad y pobreza.  Que lastima que en estas elecciones nos toque escoger una vez más por el menos malo. #nosesalvaninguno #ColombiaVota2022",negative,fear
318,"@jarizabaletaf QUE NOS DIGA DE UNA VEZ QUIEN ES EL PRESIDENTE,,,Y ACABAMOS CON ESTA MAMERA DE ELECCIONES..! Y EMPEZAMOS A CAMINAR POR TODA COLOMBIA ENMOCHILADOS…..CON LOS VENEZOLANOS….!",negative,anger
550,"@MariaFdaCabal Fuera ""Indra"" de Colombia 🇨🇴 ha participado en el desarrollo de elecciones en  Noruega, Francia, Eslovenia, Portugal, Italia, Estados Unidos, Argentina,Bolivia Angola,Argentina, Colombia entre otros, ofreciendo todo tipo de servicios electorales pero a favor de la izquierda 👈",negative,anger
12,"A caso en Colombia hay Procuraduría? O si existe está sin cabeza? Las elecciones al Congreso fueron un fraude, hay que anularlas y repetirlas; hay que cerrar el CNE y sacar a todos en la Registraduría, la mayoría para una CARCEL https://t.co/wSfZAJfJcX",negative,anger
363,La. Justicia en colombia es una mierda. El registrador va a torcer las elecciones. Donde esta el presidente par aq suspendan. Retiren del cargo a ese perro https://t.co/l3ofo0FE2l,negative,fear
85,"@HELIODOPTERO @petrogustavo El que llena plazas cada 4 años le votan el día de elecciones los mismos 4 millones, pero claro el mismo cuento que dizque le roban las elecciones. Colombia le dirá No a  Petro por enésima vez.",negative,anger
449,Comenzaron los simulacros de las elecciones de Presidente y Vicepresidente de 2022 en Colombia https://t.co/DVamXNXiGC,neutral,joy
579,"El Partido Castigador 👇
https://t.co/ceTkao1YtO",negative,fear
167,"@AlvaroUribeVel El creador del paramilitarismo en Colombia es usted señor , además quien debe garantizar la seguridad es la marioneta que puso de presidente, ahora como van perdidos en las elecciones porque el inútil de Fico les salió peor que Duque, toca sacar el truco llenar de terror",negative,anger
487,"@MONYRODRIGUEZOF por que no pide la renuncia del registrador después del fraude que cometió en las elecciones? o por que no pide la renuncia del KK’s frente a las visitas de la picota, compra de votos o infiltraciones de la campaña? Celebra usted la corrupción y ataca quienes defienden Colombia",negative,sadness
163,"@petrogustavo #pactopicota nos más terrorismo Gustavo! no más asesinatos están acabando con Colombia, no sigan amenazando a las personas por el voto.
Las elecciones se ganan con propuestas reales, no con sangre.",negative,sadness
328,"Como ustedes construyen escenarios y en dicen que en bolsa no se compra el pasado sino las expectativas futuras, me imagino que tenían en la baraja a USA titubeando 20 días antes de elecciones en Colombia.",neutral,sadness
204,"Una vida digna y sin violencia, esa definición utópica del buen vivir no se ha visto JAMÁS en colombia;  ahora a días de las elecciones que podrían generar un verdadero CAMBIO aparece el malafortunado paro armado. Nos quedamos sin VERDAD y ahora con MIEDO. #ParoArmado #Otoniel",negative,fear
536,"La @PGN_COL haciendo la tarea de la @Registraduria a pesar del creciente presupuesto va ""de para atrás"".. Más irregularidades y Alexander Vega a 23 días de las elecciones presidenciales sigue atornillado al cargo ¿@CNE_COLOMBIA @FiscaliaCol? @CaracolRadio https://t.co/J8U66CXgzI",negative,anger
211,"¿Por qué cree usted que debe ser suspendido Alexander Vega, Registrador Nacional del Estado Civil a 23 días de las elecciones presidenciales en Colombia? Responde el abogado constitucionalista ➡️ @Germancalderon1 en diálogo con @JeffersonNTN24 Directora @CGurisattiNTN24 ⬇️ https://t.co/HpbMJ16s1T",neutral,sadness
153,"¿Preparados para la guerra civil que se nos viene si la @Registraduria, el @CNE_COLOMBIA, y el @consejodeestado se roban las elecciones?",negative,fear
331,"@CARLOSFMEJIA @infopresidencia @PGN_COL @FiscaliaCol @CNE_COLOMBIA Listo el ""Auto"" que ordena destituir a @alexandervega registrador criminal que vendió las elecciones y se vendió al socialismo al #castrochavismo listo el Auto #UltimaHora https://t.co/qr4zXgZCNM",negative,fear
164,"#ColombiaDecide | Gustavo Petro contó con gran afluencia en la plaza Alfonso López, en Valledupar. Por más de una hora el candidato del Pacto Histórico expuso sus propuestas y compartió con algunos de sus simpatizantes. Más en https://t.co/0Rr4ts0rOv https://t.co/iKv6rxoH7m",neutral,joy
292,"@alfonsoeljach @alcaldiabarranc @EnLineaBarranca @vanguardiacom @Enlace_TV @Telepetroleo @Yariguies1027 @CanalTRO @CaracolBga @BLUSantanderes @RCNBga Populismo punitivo y preciso antes de las de las elecciones, siempre la misma película en #Colombia",negative,sadness
205,Se quitó la careta. .......Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia https://t.co/68tVxXzgeM,negative,fear
545,"Colombia. País de las jugaditas...

Con o sin Ley de garantías el Uribismo siempre ha encontrado y encontrará la manera de amañar elecciones y comprar votos.",negative,anger
250,"@Salu_Macallan8 @FuerzasMilCol @PoliciaColombia NO IMPORTA que salgamos a votar 20 millones por @FicoGutierrez ,El registrador ""Tibisay VEGA"" y el @CNE_COLOMBIA al servicio de las 2 Prostitutas de la Justicia,""La suprema y La constitucional,se van a robar las elecciones a favor de ""PETRO"" ya se robaron las parlamentarias OJO!!",negative,anger
307,@GralJuvenalDiaz NARCOPARAURIBISMO GENOCIDA Y CLAN DEL GOLFO TRABAJAN EN LLAVE PARA METER MIEDO A COLOMBIA Y ROBARSE LAS ELECCIONES EL 29 MAYO.,negative,anger
225,"https://t.co/FxFKHi951T. @IvanDuque no respeta la constitución ni la ley, esto favorece mas campaña de @petrogustavo.",neutral,joy
277,"¿Cómo ha votado el país en los últimos 28 años? ¿Podemos hablar de un sistema político caudillista? A menos de 30 días de las #Elecciones2022 hicimos un análisis del comportamiento electoral de los colombianos. Esto encontramos👇https://t.co/tVxPTMLkC2
#ContenidoPremiumEE",negative,anger
123,@ernestomaciast @Registraduria @PGN_COL tienen las elecciones cuadradas para que gane el hampón de @petrogustavo como sea.Yo no creo en la @Registraduria ni en @IndraenColombia que tiene cuestionamientos de su software en otros países pero la @CGR_Colombia @PGN_COL @CNE_COLOMBIA pasan de agache y no dicen ni hacen nada,negative,anger
43,"@magally_zapata Apoyo esa idea no podemos quedarnos quejadonos en Twitter mientras el registrador la izquierda esperan para robarse las elecciones Colombia, merece unas elecciones justas @PGN_COL moviliccemonos a las diferentes registraduria hasta q renuncie  registrador",negative,anger
87,"@davoelbravo @CARLOSFMEJIA @el82ye78 @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA Por qué cree que no hacen nada, por la sencilla razón que no hay nada, no existen evidencias, perdieron las elecciones.",negative,anger
8,"@Margaritarosadf Nos llevó el putas, aunque aquí en Colombia también estamos en guerra y como seguramente Petro gana las elecciones vamos a estar peor y sobra decir por obra de quién",negative,sadness
428,"EnerNews | El peso del petróleo en la ruta de los candidatos en Colombia

👉 https://t.co/8ShA3O33SD

#petróleo #Colombia #Elecciones https://t.co/ipVNfs8Zhv",neutral,fear
150,¡TOMA NOTA! La violencia del conflicto armado en Colombia resurge antes de las elecciones https://t.co/fPOo1FeIyz,negative,anger
379,"Hice el ejercicio de la Match Presidencial del @elespectador.

Me gustó. Creo que me define ideológicamente. Lo más importante es que me deja claro por quien no debo votar.

Aquí les dejo el enlace para que hagan el ejercicio. 

https://t.co/jHXsHZWoDO https://t.co/nJsUylMydh",neutral,fear
459,"¿Vamos a terminar en que para subirse al Metro de Medellín, al bus de Envigado, al Transmetro de Barranquilla o al avión de Avianca habrá que demostrar el voto por alias ""Fico""?

https://t.co/f7CDOrUAEd",negative,fear
261,"@jarizabaletaf NO IMPORTA que salgamos a votar 20 millones por @FicoGutierrez ,El registrador ""Tibisay VEGA"" y el @CNE_COLOMBIA al servicio de las 2 Prostitutas de la Justicia,""La suprema y La constitucional,se van a robar las elecciones a favor de ""PETRO"" ya se robaron las parlamentarias OJO!!",negative,anger
467,@MariaFdaCabal y para distraer de las elecciones dónde Colombia eligió ya Presidente 2022-2026 @FicoGutierrez https://t.co/3fcppGX1EY,neutral,joy
193,"No. Y están en mora las autoridades para mostrar resultados contra los que votaron dos veces en las parlamentarias y el más de millón de votos que marcaron en corferias. Se van a robar las elecciones.

#ElRiesgoEs #QuienRespondePor #ColombiaDecide #Colombia #FicoPresidente2022 https://t.co/UsQPm1tvcH",negative,anger
209,"Tres semanas para unas elecciones claves en Colombia: @petrogustavo encabeza las encuestas, el lunes denunció un plan para asesinarlo. En segundo lugar está Gutiérrez, aliado al uribismo, que busca llegar al balotaje. El análisis para @CarasyCaretasuy. 

https://t.co/HDd8ACTHI6",neutral,fear
529,"@lcvelez El mayor riesgo en las elecciones está en la misma  @Registraduria el @CNE_COLOMBIA los jurados, los supuestos delegados internacionales  que trajeron a favor de ellos, y de remate la misma Registraduria descarada haciéndole campaña a los que ofrecen el supuesto cambio 🤦🏻‍♀️ https://t.co/Xghmj77P1S",negative,fear
443,"Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia
#TalCual #ClaroyRaspao #AmigosDeNuevo 
https://t.co/Kpm7VZydwZ https://t.co/xyy0uPwwzZ",negative,sadness
491,Ya se está fraguando y activando el aplazamiento de las elecciones del 29 de mayo y la señal del golpe de estado al futuro presidente de Colombia @petrogustavo https://t.co/8QAY3qoSZA,negative,sadness
494,"Señor @AlvaroUribeVel asfixiado hasta mas no poder, sembrando terror social en la costa, sepa que Colombia despertó y esta es la misma payasada de 1 mes antes de elecciones. Firmes con Petro, un cambio por la VIDA",negative,sadness
5,"Así como estamos en Colombia no pueden haber elecciones, primero toca proteger el país de los narcoterroristas donde se tiene que empezar por fumigar para acabar con la coca y los narcoasesinos terroristas, las elecciones no serían prioridad hasta que no renuncie el registrador",negative,anger
55,".@odonnellmaria y @ertenembaum entrevistan a Francia Márquez, candidata a vicepresidenta en la fórmula de Gustavo Petro para las elecciones presidenciales de Colombia. La cita, este sábado a las 9 P.M. (Miami), 10 P.M. (Buenos Aires) en #Conecta2 https://t.co/oB0KwVMmkn",neutral,joy
497,"Así reaccionaron algunos candidatos al alza de la #inflación Variación anual del IPC llegó a 9,23% en abril, informó el @DANE_Colombia . Esto dijeron los aspirantes a la Presidencia sobre el dato, el más alto en 21 años. https://t.co/KkxlGRIPCi via @Portafolioco",negative,anger
374,"https://t.co/KXwMVRujE7 recomendado, votemos a conciencia. Este app que saco @elespectador le ayuda a ver como sus posiciones se alinean con su candidato. 1/3 #eleccionescolombia2022 #elecciones #colombia",neutral,anger
79,@CGurisattiNTN24 El senador de Colombia en EEUUtiene toda la razón sino tienen gente preparada para las elecciones nos van a robar la libertad en primera vuelta,negative,fear
114,"@NHolhuin @alezandrazam72 Modelo de Tutela que busca dar ""Tranquilidad"" Para las Elecciones Presidenciales del #29Mayo 2022 en #Colombia 
https://t.co/DRb5uWlUa3",neutral,joy
490,ESTO ES LO QUE LE ESPERA A COLOMBIA 🇨🇴 SI PETRO GANA LAS ELECCIONES SU PROPIEDAD Y LA DE TODOS LOS COLOMBIANOS SERÁN QUEMADOS SUS PROPIEDADES  EXPROPIADAS OJO COLOMBIA 🇨🇴  https://t.co/FwhicXJj3D,negative,fear
522,Ante la inminente caida del régimen asesino y criminal impuesto por los uribistas en Colombia y el cambio de poder. El establecimiento está dispuesto a realizar hechos violentos y de terror que impacten a nivel nacional y poder decretar estado de conmoción y aplazar elecciones.,negative,fear
262,@AlvaroUribeVel Ud y el gobierno son los dueños del paro armado! Colombia ya no les cree esas mañas que se inventan faltando medio mes para las elecciones para vender al Uribismo como los bienaventurados dadores de seguridad democratica! #OjoConEl2022 #OjoConElVoto,negative,anger
194,"@BluRadioCo #LaEleccionEsColombia Paso en los EEUU, Reino Unido,Francia, Italia, España, Argentina, Chile, Perú...Quien garantiza que en Colombia no se robarán las elecciones? Los Colombianos no elegimos Presidentes, son puestos por poderosos Masones a quienes se les llama Estado Profundo. https://t.co/8pRRJUUf4K",negative,fear
21,"🇨🇴 Después de todo el manto de dudas y fraudes de las pasadas elecciones en #Colombia, que confianza produce las votaciones del 29 de Mayo??
/RT",negative,anger
161,Gastón Garriga: cómo multiplicar algunas ideas de CFK/Colombia avanza hacia elecciones con Petro amenazado/Interacción con oyentes.,neutral,joy
621,"El próximo 2 de junio se realizará el ""Debate Feminista: Colombia 2022"" con los candidatos presidenciales que logren llegar a segunda vuelta 💭🇨🇴

https://t.co/zpHp59ivvi",neutral,joy
60,"El paro armado está hecho bajo la excusa de la extradición de Otoniel, esto creo más que todo es para meter miedo en la cercanía de las elecciones presidenciales, no sé a que candidato perjudicaría más? 
Pero volvimos a las épocas muy oscuras de la guerra en Colombia.",negative,fear
256,que MIEDO de verdad todo lo que esta pasando en Colombia y lo que va a pasar durante y después de elecciones,negative,fear
527,"En Colombia los amigos de @AlvaroUribeVel haciendo de las suyas!
Recuerden que hace falta 23 días para las elecciones y necesitan vender el cuento de la seguridad democrática a sangre y fuego. https://t.co/Zr9BgNQys8",negative,sadness
132,"@MartinSantosR Un día un traidor, se robó un plebiscito, ilegalmente implementó un FARCACUERDO el congreso lo avaló cómplice del robo pues sus representados dijeron No. Como pueblo dormido no protestamos de forma  contundente, por eso hoy se quieren robar las Elecciones. Colombia libre de Petro",negative,anger
604,"Match presidencial: descubra su candidato ideal para las elecciones en Colombia | El Espectador #elEspectador

🚂#trendeconciencia
📺
👇 
https://t.co/14UgzE8rpJ via @PodcastAddict https://t.co/dFY6PvhhHS",neutral,joy
555,"Las mayorías gobiernistas en el Congreso sabian que modificar la Ley de Garantías era contrario a la Constitución, aún así aprobaron modificarla para meter billones de pesos del presupuesto público a elecciones a través de convenios interadministrativos.

https://t.co/GysrfVSBSo",negative,anger
27,"Un paro armado decretado por un puñado de delincuentes narcotraficantes tiene encerrada a la gente en sus casas a punta de terror. El gobierno de Iván Duque dejó a la población a su suerte, y a 20 días de elecciones lo único que tenemos es miedo. En Colombia todo está muy miedoso https://t.co/hlRUr5bJ9Q",negative,fear
288,🚨ALERTA COLOMBIA🚨Si de verdad quieres hacer parte de la historia y participar activamente en estas elecciones. VINCÚLATE Como TESTIGO ELECTORAL Contribuye a que los COMUNISTAS En Colombia y el mundo nos no vuelvan a cometer fraude electoral.Inscríbete vigílalos y no nos dejemos,neutral,joy
619,"@karinin7986 @juanitacatano Profe no se desgaste con esa señora su intelecto no le da para más por eso se chamusco en las pasadas elecciones,además esa señora debe de haber trabajado con la ""dea"" para poder que el partido CR le dieran el aval,recuerde que ella está en el partido más corrupto de Colombia",negative,anger
515,"@ElDelMedallo @teffygiraldo06 Y va subiendo la tasa de asesinatos en Colombia, con el nuevo terrorismo pre elecciones. ¡NO SON BUENOS DÍAS!",negative,fear
253,Me late que en estas elecciones las mujeres de Colombia somos las que vamos a poner Presidente 😍😍😍 #FicoPresidenteEnPrimeraVuelta https://t.co/Kb5EIULNlJ,positive,joy
448,Rodolfo Hernández: “Fajardo como que ya pasó a la historia” https://t.co/46LHuywOBq,neutral,anger
583,"#ElRiesgoEs @CNE_COLOMBIA @Doris_MendezC , a pesar de ver el robo Monumental por parte del corrupto @Registraduria en Las elecciones de congreso afirman que todo fue transparente, uno roba.. @Registraduria y los otros @CNE_COLOMBIA lo encubren, saben que no tenemos @PGN_COL https://t.co/e8QPkTGVLT",negative,fear
380,"@condeza6 @Gonzalo00333993 @Pura_Miel @Registraduria @CNE_COLOMBIA @moecolombia @PGN_COL Coño que porquería de país , acaso la procuradora se revolcó con el registrador y le tomo fotos y videos que la tiene chantajeada o que , que carajos es lo que esa vieja está esperando que se forme un mierdero el día de las elecciones?",neutral,sadness
615,"@DanielPalam @MinInterior @INPEC_Colombia @DanielPalam para cuando #TodaLaContundenciaContraLaCriminalidad en la @Registraduria ?
Cree q las elecciones #M29 con el #registradorcorrupto Alex Vega y con las denuncias @NoticiasRCN de lo que pasó en Marzo 13, estas no se las va a robar? 
Contundencia esperamos con esto.",negative,anger
40,"Cómo que regañan? Ésto es inaudito, cómo no lo suspenden de su cargo? Yo no sé si es un inepto o un tramposo o las dos? No puede tener ese cargo para las presidenciales!!!!! https://t.co/hSGaqSukpR",negative,anger
589,"@petrogustavo Quieren hacer arder a Colombia como sea...y sabotear las elecciones,se unío toda la mafia politico-paramilitar con sus medios de comunicación y sus generales golpistas,alrededor de su patrón,no podemos ceder,Colombia va por el  cambio!!
@petrogustavo PRESIDENTE!!",negative,fear
388,"Luis Pérez se caracteriza por tener un estilo de ropa colorida y a la medida. En este capítulo de #ElHilo le contamos qué comunica con las prendas que usa el candidato.
https://t.co/BQkQzsF1Mu

#Elecciones2022 #ColombiaDecide https://t.co/qSKzzQgQn2",neutral,sadness
215,Álvaro Uribe publica video de bus quemado y afirma que esas son las “enseñanzas de Petro y Santos” https://t.co/elo1Lwwcgo,negative,joy
351,#ColombiaDecide | Candidatos presidenciales explican cómo combatirían la alta inflación en Colombia https://t.co/U2fxQzaVSR,neutral,joy
348,"El 29 de mayo, serán 
Las Elecciones en Colombia. https://t.co/k01o3i9ero",neutral,sadness
113,"@JuanDanielMos19 Pendejo eso ya pasó en 2018, parece que tú y las putas uribistas no saben ni que pasó en las elecciones de cada 4 años, otra prueba que en Colombia en un país de mierda con gente muy pendeja.",negative,anger
105,"En la Video Columna de La Conversa, este sábado 8:00 p.m.,  análisis sobre la actualidad política y social de Colombia, a escasos días de elecciones presidenciales. https://t.co/DcJRYFli9t",neutral,joy
